1624278341830,sh-patrik,40,1154038,43,1154038,['TQ'] -> ['LK']
1624280654663,sh-patrik,346,1154038,471,1154038,['TQ'] -> ['LK']
1624280741853,sh-patrik,70,1154038,322,1154038,['TQR'] -> ['LK']
1624280770025,sh-patrik,162,1154038,70,1154038,['TQR'] -> ['LK']
1624280907771,sh-patrik,136,1154038,186,1154038,['TQR'] -> ['LK']
1624285707832,sh-patrik,722,722,1046,1046,['TQ'] -> ['LK']
1624440875722,sh-patrik,21,1154038,32,1154038,['TTQ'] -> ['LK']
1624440890421,sh-patrik,28,1154038,21,1154038,['TTQ'] -> ['LK']
1624442417453,sh-patrik,2387,1154038,1855,1154038,['TTQ'] -> ['LK']
1624442430025,sh-patrik,1946,1154038,2387,1154038,['TTQ'] -> ['LK']
1624442633034,sh-patrik,528,1154038,471,965,['TTQR'] -> ['LK']
1624443614483,sh-patrik,588,588,393,393,['TTQ'] -> ['LK']
1624443627404,sh-patrik,209,209,588,588,['TTQ'] -> ['LK']
1624447396131,sh-patrik,259,281,378,378,['TTQ'] -> ['LK']
1624451274301,sh-patrik,4,1154038,11,1154038,['TTQ'] -> ['LK']
1624451335381,sh-patrik,71,71,63,109,['TTQ'] -> ['LK']
1624443658908,sh-vit,38,1154038,52,1154038,['TTQ'] -> ['LK']
1624444526785,sh-vit,254,1154038,429,1154038,['TTQ'] -> ['LK']
1624444549865,sh-vit,128,1154038,254,1154038,['TTQ'] -> ['LK']
1624444565502,sh-vit,474,1154038,128,1154038,['TTQ'] -> ['LK']
1624444647886,sh-vit,137,2575,149,1154038,['TQ'] -> ['LK']
1624447388661,sh-vit,41,46,49,77,['TQ'] -> ['LK']
1624447405075,sh-vit,47,68,41,46,['TQ'] -> ['LK']
1624447444727,sh-vit,1,1,34,56,['TTQ'] -> ['LK']
1624451228201,sh-vit,507,507,350,350,['TQ'] -> ['LK']
1624279601309,collage-jakub,3414,3414,4327,4327,['CBQ'] -> ['LK']
1624279666070,collage-jakub,8486,8486,6193,1154038,['CBQ'] -> ['LK']
1624279680557,collage-jakub,4076,4076,8486,8486,['CBQ'] -> ['LK']
1624279727273,collage-jakub,334,1154038,4076,4076,['CBQ'] -> ['LK']
1624280750969,collage-jakub,49,227,10,10,['CBQ'] -> ['LK']
1624280903247,collage-jakub,62,1154038,10,1154038,['CBQ'] -> ['LK']
1624280925275,collage-jakub,64,1154038,62,1154038,['CBQ'] -> ['LK']
1624285834010,collage-jakub,725,839,854,1190,['CBQ'] -> ['LK']
1624285852302,collage-jakub,600,600,725,839,['CBQ'] -> ['LK']
1624285977007,collage-jakub,732,1154038,239,1154038,['CBQ'] -> ['LK']
1624442489287,collage-jakub,95,484,363,1283,['CBQ'] -> ['LK']
1624442517227,collage-jakub,67,209,95,484,['CBQ'] -> ['LK']
1624442564803,collage-jakub,57,147,67,209,['CBQ'] -> ['LK']
1624442588107,collage-jakub,55,66,57,147,['CBQ'] -> ['LK']
1624443642274,collage-jakub,4696,5448,1998,4563,['CBQ'] -> ['LK']
1624443658190,collage-jakub,6927,8152,4696,5448,['CBQ'] -> ['LK']
1624443697772,collage-jakub,3793,1154038,4296,11098,['CBQ'] -> ['LK']
1624448668144,collage-jakub,511,511,791,791,['CBQ'] -> ['LK']
1624451272082,collage-jakub,231,1908,338,1154038,['CBQ'] -> ['LK']
1624451294635,collage-jakub,122,1154038,231,1908,['CBQ'] -> ['LK']
1624451314885,collage-jakub,62,1154038,122,1154038,['CBQ'] -> ['LK']
1624284449943,legacy-tereza,37,1154038,40,1154038,['TTQ'] -> ['LK']
1624442147211,legacy-tereza,30,30,79,188,['TQ'] -> ['LK']
1624442511197,legacy-tereza,52,1154038,2,1154038,['TQ'] -> ['LK']
1624442540904,legacy-tereza,480,1154038,52,1154038,['TQ'] -> ['LK']
1624442559635,legacy-tereza,64,1154038,480,1154038,['TQ'] -> ['LK']
1624442630189,legacy-tereza,82,1154038,64,1154038,['TQ'] -> ['LK']
1624443691051,legacy-tereza,9,9,26,26,['TTQ'] -> ['LK']
1624443728551,legacy-tereza,4,4,9,9,['TTQ'] -> ['LK']
1624448623938,legacy-tereza,501,1154038,395,1154038,['TTQ'] -> ['LK']
1624448637422,legacy-tereza,297,297,501,1154038,['TTQ'] -> ['LK']
1624448655654,legacy-tereza,60,180,297,297,['TTQ'] -> ['LK']
1624449446802,legacy-tereza,1,1154038,7,1154038,['TQ'] -> ['LK']
1624449498787,legacy-tereza,1,1154038,1,1154038,['TQ'] -> ['LK']
1624450673169,legacy-tereza,129,1154038,113,1154038,['TTQ'] -> ['LK']
1624278438944,legacy-franta-tomas,51,1154038,48,1154038,['TQ'] -> ['LK']
1624278455118,legacy-franta-tomas,42,1154038,51,1154038,['TQ'] -> ['LK']
1624278844364,legacy-franta-tomas,140,1154038,96,1154038,['TTQ'] -> ['LK']
1624280182201,legacy-franta-tomas,500,1154038,606,1154038,['TQ'] -> ['LK']
1624280220255,legacy-franta-tomas,425,1154038,500,1154038,['TQ'] -> ['LK']
1624280299251,legacy-franta-tomas,193,1154038,153,1154038,['TQ'] -> ['LK']
1624280831898,legacy-franta-tomas,160,1154038,230,1154038,['TQ'] -> ['LK']
1624284304981,legacy-franta-tomas,70,1154038,89,1154038,['TTQ'] -> ['LK']
1624442109510,legacy-franta-tomas,31,31,44,44,['TQ'] -> ['LK']
